,,,
,,,
Periodo 05/03/2026 a 09/03/2026,Formulando,Recria,Trava do Boi
Impreessoes,51.103,307.870,98.781
Cliques no Link,149,1.860,866
Visualizacao da pagina de destino no site,92,811,458
Valor usado,"R$ 495,46","R$ 1.480,31","R$ 713,25"
Compras diretas,1,0,1
Impreessoes | Dashboard,51.103,307.870,98.781
Cliques no Link | Dashboard,149,1.860,866
Visitou Página | Dashboard,92,811,458
Checkout | Dashboard,1,9,2
Leads | Dashboard,1,2,0
Vendas | Dashboard,1,0,1
CPM | Dashboard,"R$ 9,70","R$ 4,81","R$ 7,22"
CTR | Dashboard,"0,29%","0,60%","0,88%"
Connect Rate | Dashboard,62%,44%,53%