,,,,,,,,,,,,,,
,RECRIA NA PRÁTICA,,,,,,,,FORMULANDO NA PRÁTICA,,,,,
,Total,Tráfego,Orgânico,Orderbump,Renovação,Reembolso,,,Total,Tráfego,Orgânico,Orderbump,Renovação,Reembolso
Periodo,11/02 a 14/03,,,,,,,Periodo,11/02 a 10/03,,,,,
Investimento,"R$ 5.649,00",,,,,,,Investimento,"R$ 2.578,95",,,,,
Faturamento Bruto,"R$ 12.158,30","R$ 5.179,00","R$ 6.979,30","R$ 57,00","R$ 498,50","R$ 697,90",,Faturamento Bruto,"R$ 3.287,50","R$ 3.039,00","R$ 248,50","R$ 57,00","R$ 248,50",
Comissão Liquida,"R$ 9.327,00","R$ 3.973,49","R$ 5.353,51",,"R$ 382,05","R$ 535,20",,Comissão Liquida,"R$ 3.149,00","R$ 2.911,44","R$ 237,56",,"R$ 237,56",
Lucro Liquido,"R$ 3.678,00","-R$ 1.675,51","-R$ 295,49",,,,,Lucro Liquido,"R$ 570,05","R$ 332,49","-R$ 2.341,39",,,
Vendas,12,5,7,,1,1,,Vendas,7,6,1,,1,
Ticket Médio,"R$ 777,25","R$ 794,70","R$ 764,79",,,,,Ticket Médio,"R$ 449,86","R$ 485,24","R$ 237,56",,,
ROAS B.,"2,15","0,92","1,24",,,,,ROAS B.,"1,27","1,18","0,10",,,
ROAS L.,"1,65","0,70","0,95",,,,,ROAS L.,"1,22","1,13","0,09",,,
Leads,27,24,3,,,,,Leads,11,11,,,,
CPA,"R$ 470,75","R$ 1.129,80","R$ 807,00",,,,,CPA,"R$ 368,42","R$ 429,83","R$ 2.578,95",,,
CPL,"R$ 209,22","R$ 235,38","R$ 1.883,00",,,,,CPL,"R$ 234,45","R$ 234,45",,,,
% Conversão,"0,36%","0,15%","0,21%",,,,,% Conversão,"0,79%","0,67%","0,11%",,,
,,,,,,,,,,,,,,
,TRAVA DO BOI NA PRÁTICA,,,,,,,,,,,,,
,Total,Tráfego,Orgânico,Orderbump,Renovação,Reembolso,,,,,,,,
Periodo,11/02 a 14/03,,,,,,,,,,,,,
Investimento,"R$ 2.321,92",,,,,,,,,,,,,
Faturamento Bruto,"R$ 4.284,40","R$ 997,00","R$ 3.287,40","R$ 97,00",,,,,,,,,,
Comissão Liquida,"R$ 3.286,46","R$ 764,90","R$ 2.521,56",,,,,,,,,,,
Lucro Liquido,"R$ 964,54","-R$ 1.557,02","R$ 199,64",,,,,,,,,,,
Vendas,5,1,4,1,,,,,,,,,,
Ticket Médio,"R$ 657,29","R$ 764,90","R$ 630,39",,,,,,,,,,,
ROAS B.,"1,85","0,43","1,42",,,,,,,,,,,
ROAS L.,"1,42","0,33","1,09",,,,,,,,,,,
Leads,4,0,4,,,,,,,,,,,
CPA,"R$ 464,38","R$ 2.321,92","R$ 580,48",,,,,,,,,,,
CPL,"R$ 580,48",,"R$ 580,48",,,,,,,,,,,
% Conversão,"0,30%","0,06%","0,24%",,,,,,,,,,,